NAME,EIN,CITY,STATE
NEW YORK CHINESE OPERA SOCIETY INC,861171749,NEW YORK,NY
NEW YORK CITY OPERA INC,132974347,NEW YORK,NY
"NEW YORK GILBERT AND SULLIVAN PLAYERS, INC.",132862043,NEW YORK,NY
NEW YORK HANG TANG CULTURE AND ARTCENTER INC,204223569,NEW YORK,NY
NEW YORK LYRIC OPERA THEATRE INC,272910455,NEW YORK,NY
NEW YORK OPERA EXCHANGE INC,454861394,NEW YORK,NY
NEW YORK OPERA FORUM,,NEW YORK,NY
NEW YORK OPERA SOCIETY INC,800471095,NEW YORK,NY
NEWBERRY OPERA HOUSE FOUNDATION INC,570964360,NEWBERRY,SC
NICKEL CITY OPERA INC,200483601,CHEEKTOWAGA,NY
NORTH AMERICAN NEW OPERA WORKSHOP,,CINCINNATI,OH
NORTH BAY OPERA,,FAIRFIELD,CA
NORTH CAROLINA OPERA INC,311486222,RALEIGH,NC
NORTH IDAHO FRIENDS OF THE OPERA AND THE ARTS INC,820464809,COEUR D ALENE,ID
NORTH SHORE OPERA HOUR INC,275124838,SKOKIE,IL
NORTHERN LIGHT OPERA COMPANY INCORPORATED,450464803,PARK RAPIDS,MN
NORTHERN LIGHTS MUSIC FESTIVAL,562527875,GILBERT,MN
NORTHWEST OPERA,471255941,SPOKANE,WA
"NORTHWEST OPERA IN SCHOOLS, ETCETERA",911249425,SEATTLE,WA
NOVA CENTER FOR THE PERFORMING ARTS INC,810514788,BILLINGS,MT
NYCO RENAISSANCE LTD,465145029,NEW YORK,NY
ODYSSEY OPERA OF BOSTON INC,462717193,MALDEN,MA
OHIO LIGHT OPERA D.B.A. COLLEGE OF WOOSTER,340714654,WOOSTER,OH
OLD OPERA HOUSE THEATRE COMPANY INC,237321992,CHARLES TOWN,WV
ON SITE OPERA INC,463203280,NEW YORK,NY
OPAS ENCORE INC,452772653,BRYAN,TX
OPERALEX,611170162,LEXINGTON,KY
"OPERAWORKS, INC",592884120,NORTHRIDGE,CA
OPERA A LA CARTE ASSOCIATION,953458594,PASADENA,CA
OPERA ACADEMY OF CALIFORNIA,550895590,SAN FRANCISCO,CA
OPERA AMERICA INC,203520577,NEW YORK,NY
OPERA ARTS INC,300540629,PALM SPRINGS,CA
OPERA ASSOCIATION OF CENTRAL OHIO,311020676,COLUMBUS,OH
OPERA AT FLORHAM INC,223321489,CONVENT STATION,NJ
OPERA BEND,462541609,BEND,OR
OPERA BIRMINGHAM,237207572,BIRMINGHAM,AL
OPERA BOSTON INC,42756974,DOVER,MA
OPERA BRAVURA ENTERTAINMENT INC,275035675,SANTA CLARA,CA
"OPERA BREVE INC D.B.A. FRACTURED ATLAS, INC.",113451703,NEW YORK,NY
OPERA BUFFS,953854105,LOS ANGELES,CA
OPERA CAMERATA OF WASHINGTON DC INC,521869819,WASHINGTON,DC
OPERA CAROLINA,566019660,CHARLOTTE,NC
OPERA CAROLINA ENDOWMENT,202533756,CHARLOTTE,NC
OPERA CIRCLE INC,341816013,CLEVELAND,OH
OPERA COLORADO,840850827,DENVER,CO
OPERA COLORADO FOUNDATION,841287161,DENVER,CO
OPERA COLUMBUS,,COLUMBUS,OH
OPERA COMERATA OF WASHINGTON DC INC,521869819,WASHINGTON,DC
OPERA COMPANY OF BROOKLYN ASSOCIATION,134126544,NEW YORK,NY
OPERA COMPANY OF MIDDLEBURY INC,201993530,MIDDLEBURY,VT
OPERA CONNECTICUT D.B.A. CONNECTICUT CONCERT OPERA,61327606,W. HARTFORD,CT
OPERA CULTURA,464332937,OAKLAND,CA
"OPERA DE LAFAYETTE, INC. D.B.A. TIPPECANOE ARTS FEDERATION INC",310942566,LAFAYETTE,IN
OPERA DE PUERTO RICO,NO EIN,SAN JUAN,PR
OPERA DEL WEST INC,204040660,WAYLAND,MA
OPERA DELEWARE INC,516018055,WILMINGTON,DE
OPERA EAST TEXAS,752429448,LONGVIEW,TX
OPERA EBONY INC,510238088,NEW YORK,NY
OPERA FAIRBANKS,203975320,FAIRBANKS,AK
OPERA FAYETTEVILLE,,FAYETTEVILLE,AR
"OPERA FOR THE YOUNG, INC.",391583686,MADISON,WI
OPERA FORT COLLINS INC,841183179,FORT COLLINS,CO
OPERA FUSION INC,471432459,WEST PALM BEACH,FL
OPERA GRAND RAPIDS,386142941,GRAND RAPIDS,MI
OPERA GUILD IN THE DESERT,956220739,PALM SPRINGS,CA
OPERA GUILD INC,590906317,MIAMI,FL
OPERA GUILD OF DAYTON,311021023,DAYTON,OH
OPERA GUILD OF SAN ANTONIO,742304402,SAN ANTONIO,TX
OPERA GUILD OF THE DESERT,956220739,PALM SPRINGS,CA
OPERA HISPANICA INC,271588801,NEW YORK,NY
OPERA HOUSE ARTS,10526734,STONINGTON,ME
OPERA HOUSE ARTS COUNCIL,471335789,EL DORADO SPRINGS,MO
OPERA HOUSE INC,310996184,MCCONNELSVILLE,OH
OPERA HOUSE LIVE,,SHEPHERDSTOWN,WV
OPERA HOUSE THEATRE COMPANY INC,561490512,WILMINGTON,NC
"OPERA IDAHO, INC.",237331238,BOISE,ID
OPERA IN THE HEIGHTS,760499709,HOUSTON,TX
OPERA IN THE ROCK,455524555,CONWAY,AR
OPERA IN WILLIAMSBURG INC,475511655,WILLIAMSBURG,VA
OPERA INDEX INC,133098404,NEW YORK,NY
OPERA INTERNATIONAL D.B.A. ORGANIZATION OF CHINESE AMERICAN WOMEN INC,541149323,NORTH BETHESDA,MD
OPERA JACKSONVILLE,432032363,JACKSONVILLE,FL
OPERA LAFAYETTE,522001426,WASHINGTON,DC
OPERA LAS VEGAS,880439165,LAS VEGAS,NV
OPERA LOUISIANE INC,208572361,BATON ROUGE,LA
OPERA MATIC NFP,244199193,CHICAGO,IL
OPERA MEMPHIS ENDOWMENT FOUNDATION,581713898,MEMPHIS,TN
"OPERA MEMPHIS, INC",620785544,MEMPHIS,TN
OPERA MUSIC THEATER INTERNATIONAL,NO EIN,WASHINGTON,DC
"OPERA NAPLES, INC.",232096792,GLENSIDE,PA
OPERA NEW ENGLAND OF CAPE COD INC,42621713,MARSTONS MLS,MA
OPERA NEW ENGLAND OF NORTHEASTERN CONNECTICUT INC,60963170,POMFRET,CT
"OPERA NEW HAMPSHIRE, INC.",26013786,MANCHESTER,NH
OPERA NOIRE INC,770503778,ORINDA,CA
OPERA NORTH,222519789,LEBANON,NH
"OPERA NORTH, INC.",232096792,GLENSIDE,PA
OPERA NOVA,541618192,ARLINGTON,VA
OPERA OMAHA INC,476032795,OMAHA,NE
OPERA ON TAP,204554125,BROOKLYN,NY
OPERA ON THE JAMES,562521625,LYNCHBURG,VA
OPERA ORCHESTRA OF NEW YORK INC,136271927,NEW YORK,NY
OPERA ORLANDO,270406958,ORLANDO,FL
OPERA PACIFIC,952224201,PASADENA,CA
OPERA PARALLÈLE,721584393,SAN FRANCISCO,CA
OPERA PHILADELPHIA,231504706,PHILADELPHIA,PA
OPERA PROJECT COLUMBUS INCORPORATED,452324535,COLUMBUS,OH
OPERA PROVIDENCE,50453691,PROVIDENCE,RI
OPERA ROANOKE,510213334,ROANOKE,VA
OPERA SAN ANTONIO,273552381,SAN ANTONIO,TX
OPERA SAN JOSE ENDOWMENT FOUNDATION,272491185,SAN JOSE,CA
OPERA SAN JOSE INCORPORATED,770009773,SAN JOSE,CA
OPERA SAN LUIS OBISPO INC,770086873,SAN LUIS OBISPO,CA
OPERA SANTA BARBARA,770347413,SANTA BARBARA,CA
OPERA SARATOGA,NO EIN,SARATOGA SPRINGS,NY
OPERA SEABROOK,NO EIN,SICKLERVILLE,NJ
OPERA SOUTHWEST,237314812,ALBUQUERQUE,NM
OPERA TAMPA,NO EIN,TAMPA,FL
OPERA THEATER OF CONNECTICUT INC,222810265,CLINTON,CT
OPERA THEATER OF OREGON,202564636,PORTLAND,OR
OPERA THEATER OF PITTSBURGH,251342994,PITTSBURGH,PA
OPERA THEATRE OF MONTCLAIR,471256596,MONTCLAIR,NJ
OPERA THEATRE OF SAINT LOUIS,430821958,SAINT LOUIS,MO
OPERA THEATRE OF THE ROCKIES,841476734,COLORADO SPRINGS,CO
OPERA THEATRE OF WESTON,NO EIN,WESTON,VT
OPERA UNLIMITED,NO EIN,ALBUQUERQUE,NM
OPERA UPPER WEST,,NEW YORK,NY
OPERA WESTERN RESERVE INCORPORATED,203444934,YOUNGSTOWN,OH
OPERA WILMINGTON NC INC,464650075,WILMINGTON,NC
OPERADELAWARE,NO EIN,WILMINGTON,DE
OPERAFESTIVAL DI ROMA,,BATON ROUGE,LA
OPERAHUB,,BASTON,MA
OPERALANCASTER,,LANCASTER,PA
OPERALEX,611170162,LEXINGTON,KY
"OPERAMISSION D.B.A. FRACTURED ATLAS, INC.",113451703,NEW YORK,NY
"OPERAWORKS, INC",592884120,NORTHRIDGE,CA
OSHKOSH OPERA HOUSE FOUNDATION INC,391569883,OSHKOSH,WI
OSWEGO OPERA THEATRE INC,222234087,OSWEGO,NY
OVERTONE INDUSTRIES,680040723,LOS ANGELES,CA
OZARK FAMILY OPERA COMPANY,474721384,BENTONVILLE,AR
PACIFIC LYRIC ASSOCIATION,262629159,VISTA,CA
PACIFIC MUSICWORKS,261253117,SEATTLE,WA
PACIFIC OPERA INCORPORATED,223653314,LONG BRANCH,NJ
PACIFIC OPERA PROJECT,453321212,LOS ANGELES,CA
PAINTED SKY OPERA INC,474955667,TUTTLE,OK
PALA OPERA ASSOCIATION,,STONINGTON,CT
"PALM BEACH OPERA, INC.",591060864,WEST PALM BEACH,FL
PALMETTO OPERA,571129329,COLUMBIA,SC
PASADENA AREA OPERA TRUST,956386887,RCH CUCAMONGA,CA
PASADENA OPERA GUILD,237003934,SAN MARINO,CA
"PAULA KIMPER ENSEMBLE D.B.A. FRACTURED ATLAS, INC.",113451703,NEW YORK,NY
PEACH STATE OPERA COMPANY,264443585,LAWRENCEVILLE,GA
PELLA OPERA HOUSE COMMISSION,421320801,PELLA,IA
PENNSYLVANIA LYRIC OPERA THEATER,,NANTICOKE,PA
PENSACOLA OPERA INC,592387417,PENSACOLA,FL
PHILADELPHIA CHINESE OPERA SOCIETY INC,232999416,PHILADELPHIA,PA
PHOENIX METROPOLITAN OPERA,204517566,PHOENIX,AZ
"PIEDMONT OPERA THEATER, INC.",591743689,WINSTON-SALEM,NC
PIKES PEAK OPERA LEAGUE,742592657,COLORADO SPRINGS,CO
"PITTSBURGH OPERA, INC.",251073139,PITTSBURGH,PA
PLACIDO DOMINGO OPERA FOUNDATION,942418029,SAN FRANCISCO,CA
POCKET OPERA INC,942418029,SAN FRANCISCO,CA
PORTLAND OPERA ASSOCIATION INC,936034321,PORTLAND,OR
PORTLAND OPERA REPERTORY THEATRE,10496860,PORTLAND,ME
PORTOPERA,,,
PRO CANTUS LYRIC OPERA INC,203503872,MCALLEN,TX
PUGET SOUND CONCERT OPERA,260701319,SEATTLE,WA
PULSE OPERA HOUSE,NO EIN,WARREN,IN
QI SHU FANGS PEKING OPERA ASSOCIATION INC,113093248,WOODHAVEN,NY
QUEEN CITY CHAMBER OPERA,462698269,CINCINNATI,OH
QUEENS COLLEGE OPERA,,QUEENS,NY
RAYLYNMOR OPERA,20484003,KEENE,NH
READING CIVIC OPERA SOCIETY INCORPORATED,236394242,READING,PA
REALLY SPICY OPERA,,MINNEAPOLIS,MN
"RED BEAN CANTONESE OPERA, INC.",800705540,OAKLAND,CA
REGAL OPERA COMPANY,204618904,BEDFORD,TX
RENAISSANCE CHINESE OPERA SOCIETY,133201190,NEW YORK,NY
RENO P'OPERA,,RENO,NV
REPERTORY OPERA COMPANY,205547075,POMONA,CA
RHYMES WITH OPERA,454691402,BALTIMORE,MD
RICHARD TUCKER MUSIC FOUNDATION INC,237431029,NEW YORK,NY
RIDGE LIGHT OPERA OF NEW JERSEY INC,651223761,BASKING RIDGE,NJ
RIDGEWOOD GILBERT AND SULLIVAN OPERA CO,237175528,RIDGEWOOD,NJ
RIMROCK OPERA FOUNDATION INC,810537901,BILLINGS,MT
RIVERBEND OPERA COMPANY,275377856,MCLEAN,VA
RIVERSIDE LYRIC OPERA,562339957,RIVERSIDE,CA
RIVERSIDE OPERA GUILD,953566332,WILDOMAR,CA
ROCHESTER LYRIC OPERA INC,205109731,ROCHESTER,NY
ROCKY MOUNTAIN OPERA,,MONUMENT,CO
ROGUE OPERA,,MEDFORD,OR
SACRAMENTO PHILHARMONIC AND OPERA,911841406,SACRAMENTO,CA
SALT MARSH OPERA COMPANY,61603236,STONINGTON,CT
SAN DIEGO OPERA ASSOCIATION,956044429,SAN DIEGO,CA
SAN DIEGO OPERA ASSOCIATION ENDOWMENT TRUST,330519746,CHICAGO,IL
SAN FRANCISCO OPERA ASSOCIATION,940836240,SAN FRANCISCO,CA
SAN FRANCISCO OPERA GUILD,941189846,SAN FRANCISCO,CA
SANTA BARBARA OPERA ASSOCIATION,770347413,SANTA BARBARA,CA
SANTA CECILIA OPERA AND ORCHESTRA ASSOCIATION,364255580,LOS ANGELES,CA
"SARASOTA OPERA ASSOCIATION, INC.",237089047,SARASOTA,FL
SAVOY COMPANY WESTERN SAVINGS FUND BUILDING,236289477,PHILADELPHIA,PA
SCHENECTADY LIGHT OPERA CO INC,237224835,SCHENECTADY,NY
SEAGLE MUSIC COLONY,146030188,SCHROON LAKE,NY
SEATTLE OPERA,910760426,SEATTLE,WA
SEATTLE OPERA FOUNDATION,911174712,SEATTLE,WA
SAETTLE OPERA GUILD INC,916037578,SEATTLE,WA
SHANDS AUXILIARY INC,593551267,GAINESVILLE,FL
SHREVEPORT OPERA,726021455,SHREVEPORT,LA
SIERRA CHAMBER OPERA,942515886,FRESNO,CA
SIN CITY OPERA,454571979,HENDERSON,NV
SIERRA CHAMBER OPERA,942515886,FRESNO,CA
SKAGIT OPERA,200156714,MOUNT VERNON,WA
SKYLARK OPERA,411375724,ST. PAUL,MN
SKYLIGHT MUSIC THEATRE CORP,390975374,MILWAUKEE,WI
SMALL OPERA COMPANY,,ATLANTA,GA
SOLO OPERA,680454224,CONCORD,CA
SOUTHLAND SINGS,954652153,DUARTE,CA
SPECTRUM SYMPHONY OF NEW YORK,463526503,NEW YORK,NY
SPOLETO FESTIVAL USA,570660848,CHARLESTON,SC
SPRINGER OPERA HOUSE ARTS ASSOCIATION INC,237025084,COLUMBUS,GA
SPRINGER OPERA HOUSE ARTS ASSOCIATION TUA,586217462,ORLANDO,FL
SPRINGFIELD REGIONAL OPERA,431222808,SPRINGFIELD,MO
ST. LOUIS OPERA CLUB,510517111,LAKE ST. LOUIS,MO
ST. PETERSBURG OPERA COMPANY,208523525,ST. PETERSBURG,FL
ST. PETERSBURG OPERA GUILD INC,237100511,ST. PETERSBURG,FL
STATE REPERTORY OPERA,NO EIN,SOUTH ORANGE,NJ
STOCKTON OPERA ASSOCIATION INC,946184451,LODI,CA
"STUARTS OPERA HOUSE, INC.",310913307,NELSONVILLE,OH
SUGAR CREEK OPERA LTD,431992518,WATSEKA,IL
SUMMER SAVOYARDS INC,161110467,BINGHAMTON,NY
SUN VALLEY OPERA COMPANY,820530372,KETCHUM,ID
"SYRACUSE OPERA COMPANY, INC.",237167068,SYRACUSE,NY
TACOMA OPERA ASSOCIATION,911237511,TACOMA,WA
TACONIC OPERA INC,133986191,PEEKSKILL,NY
THEATRE GUILD AND CIVIC LIGHT OPERA OF LAKEWOOD,931191876,CYPRESS,CA
TEATRO GRATTACIELO,133789627,NEW YORK,NY
THE A. J. FLETCHER OPERA INSTITUTE,,WINSTON-SALEM,NC
THE ATLANTA OPERA INC,581371843,ATLANTA,GA
THE ATLANTIC COAST OPERA FESTIVAL,562452786,PHILADELPHIA,PA
THE BOSTONIAN OPERA AND CONCERT ENSEMBLE,NO EIN,CHARLESTON,MA
THE CHARLESTON LIGHT OPERA GUILD,,CHARLESTON,WV
THE DALLAS OPERA FOUNDATION,752008823,DALLAS,TX
THE DURHAM SAVOYARDS LIMITED OF DURHAM NORTH CAROLINA,566068443,DURHAM,NC
THE FLAGSTAFF LIGHT OPERA COMPANY,860796225,FLAGSTAFF,AZ
THE FORGOTTEN OPERA COMPANY D.B.A. THE VICTORIAN LYRIC OPERA COMPANY,NO EIN,ROCKVILLE,MD
THE GILBERT & SULLIVAN VERY LIGHT OPERA COMPANY,411368101,MINNEAPOLIS,MN
THE GILBERT AND SULLIVAN LIGHT OPERA COMPANY OF LONG ISLAND,NO EIN,HICKSVILLE,NY
THE GOLD COAST OPERA INC,591862792,CORAL SPRINGS,FL
"THE GRAND OPERA HOUSE, IOWA",421133812,DUBUQUE,IA
THE LITTLE OPERA THEATRE OF NY INC,461049598,NEW YORK,NY
THE MATTHEWS OPERA HOUSE AND ARTS CENTER,363652212,SPEARFISH,SD
THE MICROSCOPIC OPERA COMPANY,272295236,PITTSBURGH,PA
THE MINNESOTA OPERA,410946789,MINNEAPOLIS,MN
THE MOTOR CITY LYRIC OPERA,NO EIN,BLOOMFIELD HILLS,MI
THE OPERA ATELIER INC,454122494,EL PASO,TX
THE OPERA COMPANY INC,742648245,EL PASO,TX
THE OPERA FOUNDATION INC,133377138,NEW YORK,NY
THE OPERA GUILD OF FORT WORTH,752206097,FORT WORTH,TX
THE OPERA HOUSE AT BOOTHBAY HARBOR,10528754,BOOTHBAY HARBOR,ME
THE OPERA LEAGUE OF LOS ANGELES,953736299,LOS ANGELES,CA
THE POCKET OPERA PLAYERS,364275279,NORTH BERGEN,NJ
THE REGINA OPERA COMPANY INC,112734261,BROOKLYN,NY
THE RIVERSIDE OPERA ENSEMBLE INC,133206807,NEW YORK,NY
THE SANTA FE OPERA,850131810,SANTA FE,NM
THE SPARTANBURG REPERTORY COMPANY,570861531,SPARTANBURG,SC
THRASHER OPERA HOUSE CORPORATION,391915602,GREEN LAKE,WI
"TIBBITS OPERA FOUNDATION AND ARTS COUNCIL, INC.",381742032,COLDWATER,MI
TIBBITS OPERA HOUSE ENDOWMENT INC,20697823,COLDWATER,MI
TOLEDO OPERA ASSOCIATION,346556139,TOLEDO,OH
TOWNSEND OPERA PLAYERS INC,770013155,MODESTO,CA
TRI-CITIES OPERA COMPANY INC,150544166,BINGHAMTON,NY
TRIANGLE OPERA STUDIOS,264749958,DURHAM,NC
TRILOGY AN OPERA COMPANY,161681342,NEWARK,NJ
TULSA OPERA ENDOWMENT TRUST 1,731214668,DEWEY,OK
TULSA OPERA INC,730643311,TULSA,OK
TWIN CITIES OPERA GUILD INC,416058478,ST. PAUL,MN
TYROLEAN OPERA PROGRAM,202980771,SAN FRANCISCO,CA
UNDERCROFT OPERA INC,454776069,PITTSBURGH,PA
UNDERWORLD OPERA COMPANY,943083848,OAKLAND,CA
UNION AVENUE OPERA THEATRE,680523690,SAINT LOUIS,MO
UNIVERSITY OF KENTUCKY OPERA THEATRE,,LEXINGTON,KY
"UNTITLED THEATER COMPANY NO. 61, LTD.",133798373,NEW YORK,NY
URBANARIAS INC,271201798,ARLINGTON,VA
UTAH FESTIVAL OPERA COMPANY,870498252,LOGAN,UT
UTAH LYRIC OPERA,NO EIN,PROVO,UT
UTAH SYMPHONY AND OPERA,510145980,SALT LAKE CITY,UT
VALLEY LIGHT OPERA INC,42572761,AMHERST,MA
VASHON OPERA,263649993,VASHON,WA
VERDI CHORUS,954720794,SANTA MONICA,CA
VERISMO OPERA INC,223190959,FORT LEE,NJ
VERMONT OPERA PROJECT,474217066,N CLARENDON,VT
VERO BEACH OPERA INC,592883286,VERO BEACH,FL
VERTICAL PLAYER REPERTORY LTD,273867547,BROOKLYN,NY
VESPERTINE OPERA THEATER,454454928,SEATTLE,WA
VICTOR HERBERT RENAISSANCE PROJECT LIVE INC,464824292,NEW YORK,NY
VICTORY HALL OPERA,474728172,CHARLOTTESVILLE,VA
VILLAGE LIGHT OPERA GROUP LTD,136162820,NEW YORK,NY
VINEYARD TOURING OPERA COMPANY,260767483,CLAREMONT,CA
"VIRGINIA OPERA ASSOCIATION, INC.",540985006,RICHMOND,VA
VIRGINIA OPERA FOUNDATION,541647973,NORFOLK,VA
VISALIA OPERA COMPANY,NO EIN,VISALIA,CA
VITAL OPERA INC,463086770,JACKSON HEIGHTS,NY
VOICES OF CANTON INCORPORATED,237017393,CANTON,OH
VOICES OF SUMMER,263824295,DEKALB,IL
VULCAN LYRIC (CENTER CITY OPERA THEATER),,PHILADELPHIA,PA
WASHINGTON CONCERT OPERA,521473747,WASHINGTON,DC
WASHINGTON NATIONAL OPERA,530237707,WASHINGTON,DC
WATERVILLE OPERA HOUSE INC,611326721,MARYSVILLE,KY
WESTERN PLAINS OPERA COMPANY INC,450341470,MINOT,ND
WEST BAY OPERA ASSOCIATION INC,946105053,PALO ALTO,CA
WEST EDGE OPERA,942739808,BERKELEY,CA
WEST VALLEY LIGHT OPERA ASSOCIATION,237139766,LOS GATOS,CA
WHEELER HOUSE OPERA HOUSE ASSOCIATION,742334932,ASPEN,CO
"WHITEWATER OPERA COMPANY, INC.",351288681,RICHMOND,IN
WICHITA GRAND OPERA INC,481239185,WHICHITA,KS
WILDWOOD PARK FOR THE ARTS INC,237386026,LITTLE ROCK,AR
WILDWOOD PARK FOR THE PERFORMING ARTS FOUNDATION INC,710687852,LITTLE ROCK,AR
WINTER OPERA ST. LOUIS,743234710,SAINT LOUIS,MO
WOLF TRAP FOUNDATION FOR THE PERFORMING ARTS,237011544,VIENNA,VA
WOODLAND OPERA HOUSE INC,942751127,WOODLAND,CA
WORCESTER COUNTY LIGHT OPERA CLUB,46115345,WORCESTER,MA
YAKIMA VALLEY OPERA,453118396,YAKIMA,WA
YALE BAROQUE OPERA PROJECT,,NEW HAVEN,CT
"YOUNG PATRONESSES OF THE OPERA, INC",592376906,MIAMI,FL
YOUNG VICTORIAN THEATRE COMPANY,521703547,BALTIMORE,MD
ZHENGUO BEIJING OPERA HOUSE INC,204845149,NEW YORK,NY
